,State,County,FIPS,PERPOV10,METRO13,SNAPSPTH17,REDEMP_SNAPS17,PCT_SNAP17,PC_SNAPBEN17,PCT_NSLP17,PCT_SBP17,PCT_SFSP17,PCT_WIC17,PCT_CACFP17,PCT_OBESE_ADULTS17,GROCPTH16,SUPERCPTH16,CONVSPTH16,SPECSPTH16,WICSPTH16,FFRPTH16,FSRPTH16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFACPTH16,POVRATE15,MEDHHINC15,FDPIR15,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,FOODINSEC_15_17,VLFOODSEC_15_17,PopulationEstimate2017,LogPopulationEstimate2017
196,CA,Glenn,6021,0,0,-1.3129617847713633,-0.5871592183790005,-0.8875214941136795,-1.221409084584306,0.5520622727177146,-0.4714754063961535,-0.03926984501679655,0.0422367429076174,-0.09540507180807088,0.5216016149614255,-0.5311024818239419,0.6221392247556867,-1.055725162233171,-0.09479027495065999,-0.5605728624504884,-0.3300929119973771,-0.5437680475299604,-1.1206110804962508,-0.26994812000166474,-0.05524471061716812,-0.23913981666232653,0.5604614888613929,-1.3603034824477513,1.444373110214149,-0.16304374452966952,0.33531810617032054,-0.4151570184851584,-0.5755581576293406,-0.7452934585157667,-0.3778263734323017,-0.12353314511528216,0.5165337691700549
2585,TX,Dickens,48125,0,0,0.3866502189246671,0.5976515329654111,0.849408021204656,0.38761654892754743,0.7373539991122273,0.8805198032457455,-0.04290625999616554,0.3243855221566701,-0.15799263588886872,-0.07915801634678624,-0.09392225832723203,-0.04730429966625757,0.6974120944350494,-0.2806012821936253,-0.38019200153130367,0.4744928104271028,0.04166797889140402,0.03633986930143573,0.2419019115822455,0.3074583308733955,0.3540518907462648,0.09327028039211038,0.6432059668367598,-0.2565491888909306,-0.16304374452966952,-0.060677430821976804,0.2521601156327458,0.012268027930166335,0.07536805855556453,-0.6622598368915199,0.042480256993045966,0.9412081856397377
1050,KY,Johnson,21115,1,0,0.6597064812248887,-1.0607351382670671,0.288272715124704,0.37980058575905057,-1.1376185918068442,-0.4507525904046713,0.26534888573343696,0.26294517784455285,-1.1465913680621707,0.13110785461108662,0.10365894146276891,-0.813096324736329,0.29250605596954143,2.30173164188499,-0.350252043743304,-0.5412431392391548,-0.16057757152075186,0.43716752703371237,0.4360063990403027,1.0521824695601616,-0.16613294393605965,-0.4256197112619048,0.14621137476618346,-0.4380737411849895,-0.16304374452966952,-0.9937881594287581,-0.7968615235250904,-0.045133864288155065,0.34892189757934133,0.854718634890978,-0.23190642494027663,-0.06049337857206658
322,FL,Bay,12005,0,1,-0.42812622183422333,0.6786104130225525,-0.0035443744860020505,0.2603960807368784,-0.8609456893865347,-0.6134921570927895,-0.687157597106304,-0.5896595284387096,-1.0968525775069735,0.5816775780922454,-0.3877911474551318,0.19242704918273582,-0.7197870200444245,0.03822618970369781,-0.6613206916637049,1.0777813010449964,-0.2665067524699941,-0.222321919547148,0.8520558199963706,-0.3481915006316329,-0.5491257720062608,0.735472430740346,0.22386677977721103,-0.15590912711505409,-0.16304374452966952,0.1803845813895733,0.11000489720804853,-0.1684725431202618,0.394514204083304,0.9495297893773837,1.2849230928940372,1.9513272997402882
525,GA,Towns,13281,0,0,-0.4819565126389688,-1.3670737322208255,-1.1787759971643492,-2.4079981883981437e-05,-0.8872936031262917,-0.4891159144417111,0.2235744181453804,-1.7167723377207929,-0.5257692039239755,-0.5297277398279451,-0.35338041379675933,-0.813096324736329,-0.8561289946326364,1.490752546377553,-0.2671464986245824,0.0029851873170521495,0.4022852117290563,-4.626079245392598e-05,-1.0713062969407556,-1.777769847246164,-1.485975737745871,0.17650740601914916,-1.686456183494067,3.037287491049704,-0.16304374452966952,1.0135118185934875,-0.43591187162741546,-0.7992091409831065,-1.3835857495712456,-1.4207490727827694,-0.27511699696981123,-0.5872035498410166
2549,TX,Burnet,48053,0,0,-0.7664876446518649,-0.6445399252880284,-1.5015477150443952,-0.648134916714177,0.7141379137535546,-0.4090692622419256,0.6839579637820087,-0.36730370110500327,0.5318445400705248,-1.040373426439926,-0.5414743934406293,-0.813096324736329,-0.3751742417221797,0.6110239641599672,-0.2188833960622364,-0.4192646090839267,-0.47442180144527685,0.4795584680040461,0.2147512733454663,-0.3495597508373755,-0.4952227910268437,0.4092312243787216,-0.7545913233617362,0.31506693028661426,-0.16304374452966952,-0.36998269352167457,-0.4661539300244559,-0.29090587590513733,-1.5203626690831344,-1.325937918296363,-0.19138056007554874,0.21595472546607386
475,GA,Liberty,13179,0,1,-0.5591061424494871,1.3972517821329293,2.1890927067328763,0.5097086823948718,1.0569637875980744,0.8937375899461488,-0.601225801998081,1.0155707901871038,1.3451256569165002,1.3025891356621013,-0.5645791691933852,0.5414599344680715,-0.25788210600675276,0.6117493414386082,-0.4577156805514458,-0.18765717573260146,-0.6347029988753611,1.056255819102377,1.1506797262464592,0.7130000902854354,1.1059563385047884,0.9449199698279406,-0.3352521363021874,0.39352245712557193,-0.16304374452966952,0.14815275681400314,0.057459705391574384,0.053240127697626795,2.0358372382259664,1.897641334241445,-0.015736446694809916,0.8206763230238515
3131,WY,Natrona,56025,0,1,2.319659078855729,0.06572576665246488,1.6137921827669466,3.645893316852409,1.1390375930005951,1.2235940377199268,1.0186877281963946,1.638241938016803,0.6134336584465845,1.6330069328816161,-0.05168801226171464,-0.813096324736329,1.8630820705116233,-0.7386764743206182,-2.0056044830359323e-05,-0.7671464282694325,-1.3670583456384162,-4.626079245392598e-05,-0.00017685168429972155,1.3891592060994389,1.0408815863166248,-0.9274762588447475,3.9202640583021235,-1.8619322499465056,-0.16304374452966952,-0.03379103253637579,0.4772441907869679,1.0151261001449405,-0.01581655445236081,-0.2830152189458959,-0.28626123442909285,-0.8339258505090349
1475,MS,Warren,28149,0,0,0.5196237399136858,-1.2977705748134543,0.288272715124704,-0.12848098520850587,-1.1376185918068442,-0.4507525904046713,0.26534888573343696,0.26294517784455285,-1.1465913680621707,0.13110785461108662,0.20796559013619811,-0.813096324736329,-0.058678391239364414,-0.7386764743206182,-0.12943176081330204,-0.023202248172816697,0.3294927068700021,-4.626079245392598e-05,-1.0673570465820452,1.0521824695601616,-0.16613294393605965,-0.9274762588447475,-0.0712237592646935,-0.8909135364484467,-0.16304374452966952,-0.6191570283825627,-0.5259050834430011,0.1772629904887582,0.34892189757934133,0.854718634890978,-0.2802281508786491,-0.6892621571349905
2561,TX,Clay,48077,0,1,-0.11078576959147661,-0.03167751089549129,0.12553273779503596,-0.3002441845573586,-0.8670933321220885,-0.08007997482388739,0.14209485531761087,0.25234707359107356,-0.5029476428768425,0.07103189148026672,-0.11275167351584911,0.18422954526864016,-0.6612638496103332,0.8124082627732934,-0.04378373342129624,1.4042979771662796,0.7634989106022232,-0.6056684034815304,-0.520503408281349,0.6287346534001781,0.21639709398454893,0.7268425181940055,0.1617424557683892,0.31045189929608735,-0.16304374452966952,0.36238713373872145,-0.11792904003587794,-0.6725599617670652,-0.19818578046821228,0.0014182445133223637,0.37096949405070634,1.3814954225108447
