,State,County,FIPS,PERPOV10,METRO13,SNAPSPTH17,REDEMP_SNAPS17,PCT_SNAP17,PC_SNAPBEN17,PCT_NSLP17,PCT_SBP17,PCT_SFSP17,PCT_WIC17,PCT_CACFP17,PCT_OBESE_ADULTS17,GROCPTH16,SUPERCPTH16,CONVSPTH16,SPECSPTH16,WICSPTH16,FFRPTH16,FSRPTH16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFACPTH16,POVRATE15,MEDHHINC15,FDPIR15,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,FOODINSEC_15_17,VLFOODSEC_15_17,PopulationEstimate2017
2253,PA,Butler,42019,0,1,-0.848518597000305,-0.0641406933714193,0.4729656608104506,-0.7214939294517088,-0.841650564857429,-1.026770300801709,-0.3509572897931447,-0.9249329050596052,-0.4904713267889192,-0.07915801634678624,-0.35765146014467347,0.14342013550618124,-0.7388575189918675,0.1910814059725213,-0.6471741107872553,0.03611870144780144,-0.1467109071714065,-1.1768629549627707,-0.14946198870806912,-0.3469096663587518,-1.0854478360689672,0.4891507021071751,-1.049681862403641,1.560234677713167,-0.16304374452966952,-0.19569503553868273,-0.6411875783882275,-0.2269167850566001,-0.3349626999801011,-1.0415044548371448,1.2513425005874117
74,AK,Fairbanks North Star,2090,0,1,-1.7788979136149072,3.3549172277124186,-0.2672509206447441,-0.5710535892741391,-2.077589068685051,-0.9849425056063269,-0.5063143766680042,0.775693068176143,-0.2010933340403267,0.7018295043538895,-0.805241079053213,0.9573418834483114,-1.1719136293454309,0.05559220224955563,-0.7394110815462708,-0.4800667393870206,-0.15887661978313417,0.19837740441255047,1.7556510144384219,-0.0944234811008545,0.48012191813761573,0.6457679485812774,-1.2671169964345181,1.802240425619921,-0.16304374452966952,0.5811464332300413,-0.16478565004981227,-0.324339154073479,-0.5629242324999152,-1.325937918296363,0.8293185753521739
1228,MA,Plymouth,25023,0,1,-0.829886721876307,0.3653816705595515,-0.5440720357511262,-0.5820316981230936,-0.812230511283158,-1.0159791920716712,0.35453099049111486,-1.2230125820357391,-0.5693875685166041,-1.7913229655751908,-0.3505083698460927,-0.5521013364569324,-0.34563224118658686,0.6143572131217121,-0.5367718058771462,0.003708408754760828,0.06468727994848888,-0.8410806563653167,-0.08235037945379642,-0.5697178646066721,-1.5873175157827049,1.5979246521672295,-1.01861970039923,2.1143622584002943,-0.16304374452966952,0.9073462130245303,-0.33886668774164497,-0.45901067266752055,0.7136603496110443,1.233963252836603,1.930316533775892
1445,MS,Madison,28089,0,1,-0.548026226759577,0.7844822637867561,1.6137921827669466,-0.34032457380008563,1.1390375930005951,1.2235940377199268,1.0186877281963946,1.638241938016803,0.6134336584465845,1.6330069328816161,-0.41515941274879614,0.4728965638709803,-0.21742702226505595,0.5433927740798038,-2.0056044830359323e-05,1.5724814716222841,-0.17998708754733775,-4.626079245392598e-05,-0.00017685168429972155,1.3891592060994389,1.0408815863166248,1.6119784371569446,-0.5526872703330646,1.527038840763763,-0.16304374452966952,-0.13903671955503705,-0.39878531212360374,-0.428974725067407,-0.01581655445236081,-0.2830152189458959,0.861579171278357
32,AL,Hale,1065,1,1,0.1177512295567052,0.3138201118506863,1.1381159659046591,1.4532265865103464,0.4424666521119526,0.6551783986734172,0.652024655017854,0.9842886630374668,-0.45388937693500114,1.3326271172275101,-0.5044181445169086,-0.813096324736329,0.6971726613290726,-0.7386764743206182,-0.4423352421037812,0.287883944779584,-0.8924765554538806,-4.626079245392598e-05,0.8774482650066354,1.3544771797671276,0.8990967852414911,-0.9274762588447475,1.9012235280154066,-1.064827335880935,-0.16304374452966952,-0.5761101674084954,-0.47998004431569224,1.9636294528670968,1.5799141731863382,1.897641334241445,-0.44901349307074817
1225,MA,Middlesex,25017,0,1,-1.098027546155481,-0.286136904429245,-0.5440720357511262,-0.9152807801184902,-0.812230511283158,-1.0159791920716712,0.35453099049111486,-1.2230125820357391,-0.5693875685166041,-1.7913229655751908,-0.34439265886966847,-0.5617361865217451,-0.707539532899213,0.4140539221543769,-0.654481698223773,0.6737083914208576,0.1565740329505935,-1.3581809038319117,-0.3141999729994941,-0.5697178646066721,-1.5873175157827049,1.8107898008034917,-1.3447724014455458,3.352243114789173,-0.16304374452966952,0.08887617639441212,-0.6782736979156703,-0.685344148544404,0.7136603496110443,1.233963252836603,2.6913501182356323
2743,TX,Taylor,48441,0,1,-0.03472766694794419,0.45628964164898267,0.3032517417249834,0.12490023473858883,0.5422236273400819,1.0303505461108917,-1.2069723932139265,1.8677163029414896,1.5926493078950494,0.3413737255689616,-0.7189621450217283,0.16940190375102007,-0.04825472902688421,-0.24892562204000349,-0.6538256666285528,1.159020802147046,-0.22692692486797436,0.13778504965073338,1.1802542009839803,1.0658035587909394,2.136925615329989,0.527631730004498,-0.22653456928674864,-0.09988103158093778,-0.16304374452966952,0.25132129475813525,0.4402222152426335,-0.4146041452162879,0.5312911235951928,0.6650963259181655,1.0388851690033463
309,CT,Hartford,9003,0,1,-0.550703188546041,1.2029159468102177,-0.4595725670252181,0.33265703968062516,-1.1241767505304454,-1.1725292566800745,0.33929317494749983,-1.9856013051288754,-1.9733379985000665,-1.4909431499210848,0.20415177680288976,-0.46502968515949883,-0.8005240129906399,0.2577223071777538,0.14851892643355113,0.26918300909690157,0.23415815375568966,-0.5008024052735923,-0.5972242774042166,-1.5666379506939154,-2.0639162184023387,1.1639652253884818,-0.8011845663683528,1.6709954214858131,-0.16304374452966952,0.30205019375149034,-0.5552077410471981,-0.6235274579493315,-0.2893703934761384,-0.3778263734323017,2.3009354233451957
783,IN,Warrick,18173,0,1,-1.3129617847713633,-0.5871592183790005,-0.8875214941136795,-1.221409084584306,0.5520622727177146,-0.4714754063961535,-0.03926984501679655,0.0422367429076174,-0.09540507180807088,0.5216016149614255,-0.5311024818239419,0.6221392247556867,-1.055725162233171,-0.09479027495065999,-0.5605728624504884,-0.3300929119973771,-0.5437680475299604,-1.1206110804962508,-0.26994812000166474,-0.05524471061716812,-0.23913981666232653,0.5604614888613929,-1.3603034824477513,1.444373110214149,-0.16304374452966952,0.33531810617032054,-0.4151570184851585,-0.5755581576293406,-0.7452934585157667,-0.3778263734323017,0.5165337691700549
702,IN,Boone,18011,0,1,-1.2082873005774049,-0.8635551146863757,-0.8875214941136795,-1.2302658067323986,0.5520622727177146,-0.4714754063961535,-0.03926984501679655,0.0422367429076174,-0.09540507180807088,0.5216016149614255,-0.6233097956185687,0.5732080077475404,-1.0863700242608678,0.09057060098551856,-0.7476583358861809,0.17311497122370392,-0.05082692965237359,-1.562515967749612,-0.33933242557794296,-0.05524471061716812,-0.23913981666232653,0.715051527843832,-1.593269697480834,2.148934508101259,-0.16304374452966952,-0.571666397481889,-0.8836311533224448,-0.7146072169134869,-0.7452934585157667,-0.3778263734323017,0.551471165391263
1175,LA,West Feliciana,22125,0,1,-1.0306905005062108,-0.2796316448194816,2.1890927067328763,-0.5644787849191997,1.0569637875980744,0.8937375899461488,-0.601225801998081,1.0155707901871038,1.3451256569165002,1.3025891356621013,-0.5238258263472552,-0.813096324736329,-0.24190188767861984,0.1303280491326346,-0.4645064551893398,-1.0535206271811288,-0.3325552067253829,-4.626079245392598e-05,-0.41842035574580955,0.7130000902854354,1.1059563385047884,-0.9274762588447475,1.1867938019139528,0.6524499853309244,-0.16304374452966952,0.9722256231669275,1.3079297531158953,-0.1130670338972507,2.0358372382259664,1.897641334241445,-0.4237853215203572
2981,WA,Skagit,53057,0,1,-0.3426636785153932,0.6902153778315105,-0.10783157303107661,0.5469265487918985,-1.604529274199582,-1.4237776602117191,-0.5590467095538687,-0.039872722762109215,-0.7736595096044067,-1.2506392973977998,0.07127084539985958,0.2695085213483578,-0.5985374613002931,1.0961351212896129,-0.6452609918331056,0.12692808306908815,0.33179849719026683,0.24542735757755044,1.2449066219266447,0.39819060651450255,-0.09889350388481699,0.35521694214044397,-0.21100348828454318,0.6695336965414714,2.9045217962620766,0.13883322668340947,-0.15093192503064334,-0.42149293998923004,-0.9276626845316174,-0.9466933003507391,0.9842247118523669
480,GA,McDuffie,13189,0,1,1.4649669635347728,1.1106506095152997,0.849408021204656,2.028481729181864,0.7373539991122273,0.8805198032457455,-0.04290625999616554,0.3243855221566701,-0.15799263588886872,-0.07915801634678624,-0.6960789509247656,1.26219463085442,1.103668255819765,-0.11798801824332082,-0.16588133684124454,0.9772307138480016,-0.053464791080893664,0.8152607399355457,0.3050483006328675,0.3074583308733955,0.3540518907462648,-0.9274762588447475,1.7303816369911458,-0.9939015964475738,-0.16304374452966952,-0.7313443788960818,-0.5038488241346718,0.6577914757273837,0.07536805855556453,-0.6622598368915199,-0.19926648509322167
